门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
纯阳,紫霞功,2,无争·悟,尝试击退目标时自身获得2把{飞剑}。击退敌方时可使其{轻功沉默}2秒，击退结束后使其{定身}3秒。,100559,2
纯阳,紫霞功,3,上善·悟,每次获得{飞剑}可使自身伤害提高3%，持续10秒，最多叠加5层。,100560,1
纯阳,紫霞功,3,和光·悟,每次获得{飞剑}可降低1秒【气场招式】的调息时间，且回复自身2%最大气血值。,100561,2
纯阳,紫霞功,4,气破鸿蒙·悟,对敌方造成伤害，消耗所有{飞剑}，每1把可提高本招式伤害10%。,100080,1
纯阳,紫霞功,4,镇山河·悟,在目标区域产生一个半径7尺的{气场}【镇山河】存在8秒。,100082,2
七秀,云裳心经,1,飘然·悟,自身气血值下降到40%以下时，闪避提升50%且成功闪避时回复自身10%气血值，持续5秒，20秒可触发1次。,100510,1
七秀,云裳心经,1,婵娟·悟,施展【傍身招式】后使自身治疗效果提高15%，持续5秒。,100511,2
七秀,云裳心经,2,玉颜·悟,移动速度提升10%，受控状态下自身受到的所有伤害降低15%。,100516,1
七秀,云裳心经,2,清光·悟,招式会心后疗伤效果提升3%，可叠加5层，持续10秒。,100518,2
七秀,云裳心经,3,容华·悟,气血值低于1%时，解除自身被控制状态，受到伤害降低100%，持续3秒。,100532,1
七秀,云裳心经,3,绛珠·悟,自身体质和根骨属性提升10%，移动速度提高5%。,100533,2
七秀,云裳心经,4,风袖低昂·悟,回复范围内友方气血值，使其获得{天地低昂·悟}，若其气血值低于70%，使其已有的自身持续治疗效果立即生效。,100096,1
七秀,云裳心经,4,九微飞花·悟,在自身和目标位置各自落下花雨，每秒使6尺范围内友方回复气血值，并使其造成的伤害提高，每跳治疗效果递增10%，对受控的目标造成的治疗效果提高15%，同一个目标同时只会被自身一片花雨治疗，持续6秒。,100102,2
七秀,冰心诀,1,瑟曲·悟,当自身{急曲·悟}叠加至3层时 ，自身被控制效果持续时间降低50%，移速提高30%，持续8秒。,100584,1
七秀,冰心诀,1,红袖·悟,施展【绝技招式】使自身会心率和会心效果提高10%，持续20秒。,100585,2
七秀,冰心诀,2,弦曲·悟,对有3层{急曲·悟}的目标添加{急曲·悟}时，或者使{急曲·悟}伤害立即生效时，造成1次额外阴性内功伤害，并有50%概率降低【绝技招式】调息时间1秒。,100586,1
七秀,冰心诀,2,笙曲·悟,使{急曲·悟}效果全部立即生效后10秒内受到的伤害降低10%，且在添加{急曲·悟}时，额外添加1层。,100587,2
七秀,冰心诀,3,轻云·悟,气血值低于1%时，解除自身被控制状态，受到伤害降低100%，持续3秒。,101956,1
七秀,冰心诀,3,筝曲·悟,添加{急曲·悟}时，自身伤害提高6%，可叠加3层，持续10秒。,100588,2
七秀,冰心诀,4,霜天剑泠·悟,每0.25秒对敌方造成伤害并使其移速降低。目标离开自身21尺则挣脱剑气攻击，若3秒内未挣脱，则在效果结束时额外造成1次伤害并附带1层{急曲·悟}，同时使其{眩晕}并{外功沉默}，{内功沉默}，{轻功沉默}。,100377,1
七秀,冰心诀,4,合璧知意·悟,对敌方造成伤害，在其位置形成半径6尺的区域，持续5秒，目标在区域中每秒受到伤害并添加1层{凝波}，期间若玩家目标离开区域，则立即添加10层{凝波}。,100598,2
五毒,毒经,1,殇音·悟,持续伤害每跳使自身无双和造成的伤害增加1%，持续5秒，最多可叠加10层。,100794,1
五毒,毒经,1,蛊蚀·悟,{蛊虫}伤害提高25%。,100801,2
五毒,毒经,2,灵蝶·悟,每施展十次{千劫万毒手}，下一次傍身招式会对20尺范围最多5个目标造成毒性内功伤害，且刷新目标身上属于自身的持续伤害效果时间,100802,1
五毒,毒经,2,跗骨·悟,会心效果提高15%，【傍身招式】对{蛊虫}附体的目标造成的伤害提高15%。,100803,2
五毒,毒经,3,噬命·悟,持续伤害提高30%，【傍身招式】命中{夺命蛊}效果目标伤害提高15%。,100804,1
五毒,毒经,3,苏生·悟,{引魂蛊术}的调息时间降低2秒。,100805,2
五毒,毒经,4,连缘蛊·悟,每0.5秒对敌方造成一次伤害，持续3秒。目标每存在一个自身的持续伤害，则伤害提高35%。,100763,1
五毒,毒经,4,寂灭蛊·悟,每0.5秒对自身6尺范围内敌方造成一次伤害并减速50%，持续3秒。若{蛊虫}在场，则对{蛊虫}附体目标也产生同样效果。运功结束后造成一次大额伤害并恢复自身20%气血值。,100764,2
五毒,补天诀,1,五圣·悟,施展{驭灵奇术}招式后自身疗伤效果提高15%，持续10秒。,100828,1
五毒,补天诀,1,翩跹·悟,施展{补天心经}招式后回复自身10%最大气血值且移动速度提高25%，持续5秒。,100829,2
五毒,补天诀,2,回生·悟,施展{补天心经}招式后降低【绝技招式】2秒调息时间。,100830,1
五毒,补天诀,2,灵眷·悟,{驭灵奇术}治疗目标后，使目标受到的伤害降低10%持续2秒。,100831,2
五毒,补天诀,3,圣护·悟,施展{补天心经}招式五次后下个【千蝶吐瑞·悟】的目标受到的伤害降低40%，{锁足}{定身}{眩晕}{击倒}控制效果持续时间降低50%，持续3秒。,100832,1
五毒,补天诀,3,献灵·悟,{驭灵奇术}的调息时间降低2秒。,100833,2
五毒,补天诀,4,千蝶吐瑞·悟,7秒内每0.5秒为半径20尺范围内气血值百分比最低的一名队友恢复气血值。,100765,1
五毒,补天诀,4,孔雀引·悟,召唤一个孔雀每秒为10尺内队友恢复气血值，持续25秒。期间若队友气血值低于70%还会获得相当于30%最大气血值的护盾，持续6秒，该效果15秒内只能触发一次。,100766,2
唐门,天罗诡道,1,神魂俱灭·悟,会心效果提高10%，所有{机关招式}的伤害提高20%。,101943,1
唐门,天罗诡道,1,天涯亡命·悟,会心效果提高10%，所有{陷阱招式}的伤害提高20%。,101944,2
唐门,天罗诡道,2,飞鸢折翼·悟,自身添加的{中毒}剩余伤害立即生效时，可使敌方{轻功沉默}持续5秒。,101945,1
唐门,天罗诡道,2,毒煞灵机·悟,自身添加的{中毒}剩余伤害立即生效时，可降低3秒{陷阱招式}的调息时间。,101946,2
唐门,天罗诡道,3,千机万化·悟,每拥有1个机关，施展任意{陷阱招式}的调息时间降低2秒。,101947,1
唐门,天罗诡道,3,神机千变·悟,每次施展{机关招式}或{陷阱招式}可使自身受到的伤害降低10%，持续8秒，最多叠加2层。,101948,2
唐门,天罗诡道,4,鬼斧千机·悟,半径20尺内自身所有机关和陷阱存在时间延长10秒。,101885,1
唐门,天罗诡道,4,暴雨夺命针·悟,重置【千机毒刹·悟】【天绝地灭·悟】的调息时间。对敌方造成伤害，命中同一敌方3击后可使自身添加的{中毒}剩余伤害立即生效。,101886,2
唐门,惊羽诀,1,催心索魂·悟,招式会心则使自身4秒内伤害提高15%。,101802,1
唐门,惊羽诀,1,飞影残星·悟,施展【浮光飞影·悟】使自身3秒内免疫控制状态，【飞星绝影·悟·贰式】使自身5秒内免疫控制状态。,101803,2
唐门,惊羽诀,2,碧落黄泉·悟,【逐星箭·悟】【穿心弩·悟】命中目标可叠加{无声}，【追命箭·悟】伤害提高10%。,101804,1
唐门,惊羽诀,2,神弩化镖·悟,【穿心弩·悟】替换为【化血镖·悟】，【暴雨索魂针·悟】【雷震子·悟】充能次数增加1次。,101805,2
唐门,惊羽诀,3,追命夺魄·悟,【追命箭·悟】命中使下一次【夺魄箭·悟】瞬发，且伤害提高50%。,101806,1
唐门,惊羽诀,3,碧空扶摇·悟,施展【扶摇直上·悟】【鸟翔碧空·悟】3秒内闪避率提高35%。且【扶摇直上·悟】可使自身免疫控制3秒。,101807,2
唐门,惊羽诀,4,百里追魂·悟,自身跃起悬浮对目标范围蓄力，2秒后对区域内目标造成高额伤害。,101732,1
唐门,惊羽诀,4,流火连星·悟,对目标区域造成伤害，并使范围内最多3个目标1秒后再次爆炸，分别对其周围8尺造成范围伤害。,101733,2
藏剑,问水诀,1,折梅·悟,会心效果提高10%，添加{梅隐香·悟}时，额外添加1秒。,100919,1
藏剑,问水诀,1,临水·悟,{轻剑招式}会心后，5秒内自身下次运功招式无需运功，另使自身会心效果提高15%，持续5秒。,100917,2
藏剑,问水诀,2,凤阙·悟,{龙池}的持续时间增加至14秒，造成的伤害提高30%。,100918,1
藏剑,问水诀,2,载酒·悟,对被{定身}、{眩晕}、{击倒}的敌方造成的伤害提高20%。,100916,2
藏剑,问水诀,3,逸剑·悟,施展{轻剑招式}产生位移时，免疫控制，持续3秒；{重剑招式}造成伤害时，获得可化解相当于3%气血值伤害的护盾，持续3秒。,100920,1
藏剑,问水诀,3,澜江·悟,{龙池}每造成1次伤害，藏剑{断潮·悟}的伤害提升3%，最多提升30%，会心效果提高1%，最多提高10%，{龙池}消失时清除此效果。,100921,2
藏剑,问水诀,4,风来吴山·悟,持续运功，每0.5秒对周围敌方造成伤害。在此过程中你无法跳跃，且免疫控制和{缴械}。,100741,1
藏剑,问水诀,4,飞来闻踪·悟,召唤5个可以被攻击的剑魂，并形成{飞来剑阵·悟}。剑阵中藏剑免疫控制和{缴械}，每秒回复4%气血值，并获得{闻踪·悟}，若剑阵未被提前摧毁，则延长{闻踪·悟}5秒。,101934,2
藏剑,问水诀,4,莺鸣柳·悟,立即恢复自身全部剑气，自身外功招式会心几率提升20%，外功攻击力提升20%，持续10秒，效果持续期间，外功攻击会心必定触发{断潮·悟}。,100905,1
丐帮,笑尘诀,1,刚健·悟,{棒法招式}伤害提高15%。,100849,1
丐帮,笑尘诀,1,无妄·悟,{掌法招式}会心率提高15%。施展任意{掌法招式}后自身受到的伤害降低25%，持续2秒。,100850,2
丐帮,笑尘诀,2,遁亨·悟,会心效果提高10%，施展【烟雨行·悟】可重置【棒打狗头·悟】的调息时间。,100851,1
丐帮,笑尘诀,2,利涉·悟,会心效果提高10%。对被{定身}、{锁足}、{眩晕}、{击倒}的敌方造成的伤害提高10%。所有{掌法招式}调息时间降低3秒。,100852,2
丐帮,笑尘诀,3,载物·悟,{竹林}的存在时间增加3秒，自身处于{竹林}内时伤害和无双均提高10%。,100853,1
丐帮,笑尘诀,3,无虞·悟,{竹林}内自身受到的伤害降低30%，施展【傍身招式】命中敌方可使其{轻功沉默}1.5秒。,100854,2
丐帮,笑尘诀,4,神龙降世·悟,腾空跃起，对敌方造成伤害。,100824,1
丐帮,笑尘诀,4,天下无狗·悟,对敌方造成伤害。,100825,2
明教,焚影圣诀,1,弃身明道·悟,对侠士目标造成伤害后使其受到的伤害提高10%，持续3秒。,100787,1
明教,焚影圣诀,1,圣光破邪·悟,招式会心后使自身6秒内伤害提高15%。,100788,2
明教,焚影圣诀,2,光影偕生·悟,【流光囚影·悟】调息时间增加15秒，可{缴械}目标5秒。,100789,1
明教,焚影圣诀,2,日月同辉·悟,{净世破魔击·悟}伤害提高30%，施展{净世破魔击·悟}后返还20点对应日灵或月魂。,100790,2
明教,焚影圣诀,3,轮回死生·悟,{净世破魔击·悟·日}对气血低于50%的目标伤害提高80%，{净世破魔击·悟·月}使目标6秒内{减疗}40%。,100791,1
明教,焚影圣诀,3,诛邪镇魔·悟,8秒内交替施展两次不同效果的{净世破魔击·悟}可将【傍身招式】替换为特殊招式{诛邪镇魔·悟}。,100792,2
明教,焚影圣诀,4,微妙风·悟,对自身周围造成5次伤害。,101859,1
明教,焚影圣诀,4,日月晦·悟,对目标区域冲刺造成伤害，自身获得满日。,101862,2
明教,明尊琉璃体,1,七神佑体·悟,基础气血最大值提高10%，被疗伤成效提高10%。,100929,1
明教,明尊琉璃体,1,光明造相·悟,被伤害招式命中后使自身闪躲提高3%，可叠加5层，持续20秒。,100934,2
明教,明尊琉璃体,2,圣法妙风·悟,每次闪避后使自身回复5%最大气血值，至多每秒触发一次。,101895,1
明教,明尊琉璃体,2,降魔催光·悟,施展{净世破魔击·悟}使自身受到的伤害降低10%，持续10秒。,100932,2
明教,明尊琉璃体,3,心火叹·悟,8秒内交替施展两次不同效果的{净世破魔击·悟}可将【傍身招式】替换为特殊招式{心火叹·悟}。,101896,1
明教,明尊琉璃体,3,永浴阳炎·悟,施展{净世破魔击·悟}可抵挡1次伤害，持续6秒。,100931,2
明教,明尊琉璃体,4,微妙风·悟,对自身周围造成5次伤害。,100935,1
明教,明尊琉璃体,4,朝圣言·悟,持续运功使范围敌方强制攻击自身。期间自身受到的伤害降低60%。\n·招式期间20尺内团队成员获得{朝圣·悟}，并每秒获得增益。,100874,2
苍云,分山劲,1,血狱·悟,会心率提高5%，自身施加的{流血}现在最多可叠加3层。,101245,1
苍云,分山劲,1,镇关·悟,施展{盾系招式}使自身获得1秒{盾立·悟}。,101246,2
苍云,分山劲,2,睥睨·悟,攻击气血值百分比低于自身的目标后，使自身伤害提高10%，对被{眩晕}、{击倒}、{击入僵直}的目标造成伤害额外再提高10%，持续5秒。,101247,1
苍云,分山劲,2,陷阵·悟,自身每次添加{流血}后，使自身会心率和会心效果提高3%，持续15秒，最多叠加3层。,101248,2
苍云,分山劲,3,碎甲·悟,{血怒·悟}不再降低受到的伤害，伤害提高效果提高至5%，持续时间延长至25秒，{刀系招式}不再消耗{血怒·悟}。,101249,1
苍云,分山劲,3,战狂·悟,施展{刀系招式}时，若有3层{血怒·悟}，消耗全部{血怒·悟}并额外造成1次567%攻击力的外功伤害，使敌方{减疗}30%，持续3秒。,101250,2
苍云,分山劲,4,矢尽兵穷·悟,向范围内敌方玩家发出战斗邀请，3秒后在施展位置生成决斗场，范围内自身以及敌方玩家免疫击退和被拉。受到邀请未在场内和离开决斗场的敌方玩家造成的伤害降低60%，持续12秒。决斗场最多存在15秒，在苍云离开后消失。,102042,1
苍云,分山劲,4,祭血关山·悟,获得{擎刀}，对周围敌方造成伤害，随后每秒对范围内敌方造成伤害并使其{轻功沉默}。期间自身造成的伤害额外提高10%，持续10秒。,102040,2
苍云,铁骨衣,1,先登·悟,成功招架后回复自身3%气血值，该效果最多每6秒触发一次。,101345,1
苍云,铁骨衣,1,孤注·悟,被攻击时使自身招架率提高6%，最多可叠加5层，成功招架后该效果不再叠加，8秒后效果消失。,101346,2
苍云,铁骨衣,2,厉兵·悟,体质和被疗成效提高10%。,101347,1
苍云,铁骨衣,2,焚舟·悟,自身气血值每下降10%，招架率提高3%，基础拆招值提高2%。,101348,2
苍云,铁骨衣,3,不屈·悟,{铁骨·悟}效果提高90%，可额外叠加5层。,101349,1
苍云,铁骨衣,3,死地·悟,成功招架后使自身基础外功攻击力提升，提升量相当于自身当前拆招值的50%。,101350,2
苍云,铁骨衣,4,阵云结晦·悟,对敌方造成伤害，命中敌方时，使自身招架率提升8%，并使其伤害降低，可叠加3次，持续15秒。,101035,1
苍云,铁骨衣,4,寒啸千军·悟,鼓舞友方士气，使团队成员无双率提高。,101344,2
长歌,莫问,1,风雅·悟,{琴音}招式造成的伤害提高25%。,101225,1
长歌,莫问,1,对影·悟,{影子}命中敌方侠士时使其受到伤害提高5%，持续2秒。,101226,2
长歌,莫问,2,古调·悟,{琴音}招式命中后为自身添加{绕梁}持续5秒。,101227,1
长歌,莫问,2,影荫·悟,每产生一个{影子}在场，使自身受到的伤害降低5%。每次回收影子降低【清绝影歌·悟】调息时间10秒。,101228,2
长歌,莫问,3,弦歌·悟,{音域}招式调息时间降低5秒。,101229,1
长歌,莫问,3,影杀·悟,每产生一个{影子}在场，使自身造成的伤害提高3%。,101230,2
长歌,莫问,4,高山流水·悟,对敌方造成伤害并添加{高山流水}，持续15秒。,101231,1
长歌,莫问,4,平沙落雁·悟,对敌方造成伤害。,101232,2
长歌,相知,1,雅乐·悟,{琴韵}招式的治疗效果提高30%。,101233,1
长歌,相知,1,影护·悟,{影子}的治疗效果提高20%。,101234,2
长歌,相知,2,曲意·悟,{琴韵}招式命中后为自身添加{百啭}持续5秒。,101235,1
长歌,相知,2,影泽·悟,每产生一个{影子}在场，使自身受到的伤害降低5%。每次回收影子降低【敛意·悟】调息时间10秒。,101236,2
长歌,相知,3,弦音·悟,{音域}招式调息时间降低5秒。,101237,1
长歌,相知,3,梅清·悟,{梅花三弄}吸收的伤害量提高为血量上限的25%。,101238,2
长歌,相知,4,阳春白雪·悟,为友方恢复气血值并添加{阳春白雪}，持续10秒。,101239,1
长歌,相知,4,梅花三弄·悟,为友方恢复气血值并添加{梅花三弄}。,101240,2
霸刀,北傲诀,1,征踏·悟,{长刀招式}伤害提高10%，且对{锁足}、{眩晕}、{击倒}目标伤害提高15%。,101296,1
霸刀,北傲诀,1,敛锋·悟,{鞘刀招式}命中的目标气血值低于50%，造成的伤害提高30%。,101297,2
霸刀,北傲诀,2,无拘·悟,施展{双刀招式}后，回复10%最大气血值，自身移速提高20%，持续5秒。,101298,1
霸刀,北傲诀,2,裁魂·悟,{鞘刀招式}命中【坚壁清野·悟】的刀气残留区域内目标时伤害提高30%。,101299,2
霸刀,北傲诀,3,霸王·悟,【项王击鼎·悟】叁式触发的持续范围伤害每次递增10%。,101300,1
霸刀,北傲诀,3,龙威·悟,【醉斩白蛇·悟】每命中一个目标，则有15%概率使6秒内下一个【刀啸风吟·悟】无需运功，伤害提高50%且附带击退效果。,101301,2
霸刀,北傲诀,4,上将军印·悟,对前方造成5次逐渐递增的伤害。,101015,1
霸刀,北傲诀,4,横断山河·悟,冲向目标区域造成伤害并击飞敌方，使其3秒内{轻功沉默}，随后跃向空中引风雷落下，造成伤害并{击倒}。,101016,2
蓬莱,凌海诀,1,天宇·悟,{驰风震域·悟}内的目标{轻功沉默}。,101165,1
蓬莱,凌海诀,1,鹏程·悟,处于自身飓风或水龙卷范围内时，施展【傍身招式】后降低{缥缈掌法}和【澹然若海·悟】调息时间1秒。,101166,2
蓬莱,凌海诀,2,九溟·悟,有{击落}效果招式命中空中敌方时，造成130%攻击力的外功伤害，若成功击落目标，则再造成1次伤害。,101167,1
蓬莱,凌海诀,2,浩渺·悟,不处于{撑伞浮空}且在{驰风震域·悟}范围内时，自身造成的伤害与无双提高8%。,101168,2
蓬莱,凌海诀,3,击浪·悟,施展冲刺招式移动10尺以上距离时，使自身在1.5秒后对周围8尺敌方造成169%攻击力的外功伤害，已有该效果时不会重复获得。,101169,1
蓬莱,凌海诀,3,海溟·悟,处于自身飓风、水龙卷范围内时，分别使自身的会心率和会心效果提高10%。,101170,2
蓬莱,凌海诀,4,澹然若海·悟,对周围敌方造成伤害，并在原地出现{水龙卷}。自身在{水龙卷}内施展{缥缈掌法}命中目标会使{水龙卷}造成的伤害提高10%，最多提高3次，持续8秒。,102111,1
蓬莱,凌海诀,4,飞倾列缺·悟,对目标区域内敌方造成伤害并{定身}，随即再次对范围内敌方造成伤害并将其拉向空中，期间对敌方持续造成伤害，并使其{轻功沉默}。,102112,2
凌雪,隐龙诀,1,索命·悟,成功{链接}目标后，自身伤害提高15%，持续12秒。,101324,1
凌雪,隐龙诀,1,岿巍·悟,成功{链接}目标后，获得20%最大气血值的伤害化解盾，持续15秒。,101325,2
凌雪,隐龙诀,2,劫尘·悟,{链接}目标时，每2秒提高自身会心率和会心效果5%，最多提高至15%，持续8秒。,101326,1
凌雪,隐龙诀,2,堕狱·悟,被左手锁链，右手锁链同时{链接}的目标，将被{轻功沉默}。,101329,2
凌雪,隐龙诀,3,无归·悟,被左手锁链，右手锁链同时{链接}的目标，每秒受到120%攻击力的外功伤害。,101328,1
凌雪,隐龙诀,3,百纳·悟,{链接}侠士目标时，其受到的疗伤转移30%给自身，且每2秒从目标转移2个增益给自身。,101327,2
凌雪,隐龙诀,4,飞刃回转·悟,掷出{飞刃}对敌方造成伤害。选中非侠士目标施展【对阵招式】时{飞刃}将掷向该目标。当自身与{飞刃}距离小于6尺时，施展任意【对阵招式】可使其存在时间延长1秒，最多延长6秒。,101192,1
凌雪,隐龙诀,4,乱天狼·悟,对敌方造成伤害。,101193,2
衍天,太玄经,1,翼轸·悟,持有卦象期间：\n放置【灯魂】可使范围内敌方{锁足}，持续2秒；\n自身成功使敌方{眩晕}时，造成的伤害提高20%，持续5秒。,101473,1
衍天,太玄经,1,辰星·悟,自身或目标处于{局}或{连局}中时，【傍身招式】和【兵主逆·悟】命中时造成1次额外混元性内功伤害。,101474,2
衍天,太玄经,2,星汉 ·悟,持有卦象或场上有自身【灯魂】时，造成的伤害提高10%，受到的伤害降低10%。,101475,1
